A,K,L,M,N,O,P,B,C,D,E,F,G,H,I,J,Q,R,S,T
corrected time (hrs),F3 corr,F5 corr,F7 corr,F9 corr,F11 corr,F13 corr,D3 corr,d5 corr,d7 corr,d9 corr,d11 corr,d13 corr,,,,,,,
-0.56576,29.29623,25.73849,21.78372,19.2485,18.50929,18.24907,-10.07279,-8.19474,-7.11063,-6.38195,-5.42029,-5.11526,,,,,,,
-0.56517,29.25768,25.74619,21.73747,19.32743,18.72196,18.20659,-10.09297,-8.2022,-7.10656,-6.37752,-5.45664,-5.1767,,,,,,,
-0.56457,29.27329,25.73588,21.81511,19.31672,18.42977,18.16948,-10.15838,-8.23705,-7.15498,-6.38329,-5.45465,-5.13976,,,,,,,
-0.56398,29.32299,25.87298,21.8828,19.2639,18.50442,18.17321,-10.1329,-8.23488,-7.13049,-6.38433,-5.43519,-5.14426,,,,,,,
-0.5634,29.34021,25.84226,21.8843,19.34066,18.4451,18.25573,-10.13588,-8.12094,-7.1126,-6.37112,-5.41581,-5.13755,,,,,,,
-0.5628,29.21145,25.76384,21.82877,19.27354,18.61573,18.45685,-10.12405,-8.15965,-7.10596,-6.39472,-5.43307,-5.18263,,,,,,,
-0.56219,29.26008,25.66205,21.80825,19.21536,18.40347,18.34242,-10.23756,-8.2075,-7.1231,-6.38474,-5.4585,-5.15823,,,,,,,
-0.5616,29.27073,25.93097,21.67426,19.34148,18.4428,18.24545,-10.08392,-8.23693,-7.11881,-6.35639,-5.44097,-5.17173,,,,,,,
-0.56103,29.18676,25.71001,21.76834,19.26182,18.5281,18.33098,-10.11847,-8.20928,-7.182,-6.34533,-5.47671,-5.12421,,,,,,,
-0.56044,29.2735,25.68532,21.87252,19.36232,18.44298,18.44256,-10.11538,-8.16221,-7.16178,-6.36676,-5.44712,-5.08695,,,,,,,
-0.55986,29.22403,25.76599,21.81412,19.33732,18.57531,18.2272,-10.13678,-8.17009,-7.13609,-6.35074,-5.41436,-5.12749,,,,,,,
-0.55928,29.05694,25.79003,21.82771,19.27089,18.43754,18.37959,-10.11882,-8.15758,-7.13091,-6.38639,-5.46744,-5.11376,,,,,,,
-0.55869,29.28093,25.82354,21.74352,19.25788,18.51426,18.21665,-10.09575,-8.26202,-7.08829,-6.38833,-5.43897,-5.14771,,,,,,,
-0.55809,29.19252,25.84345,21.84499,19.29837,18.36699,18.14751,-10.18526,-8.18657,-7.11735,-6.39286,-5.40729,-5.08302,,,,,,,
-0.55749,29.37548,25.74882,21.79871,19.28036,18.5006,18.30652,-10.10029,-8.28349,-7.15891,-6.36916,-5.40928,-5.22417,,,,,,,
-0.55691,29.28166,25.9453,21.63684,19.28074,18.3689,18.32371,-10.15617,-8.22328,-7.13791,-6.38392,-5.40953,-5.14695,,,,,,,
-0.55632,29.27025,25.64632,21.75578,19.25777,18.51996,18.31738,-10.10629,-8.15527,-7.14227,-6.36723,-5.41033,-5.05346,,,,,,,
-0.55572,29.03125,25.83041,21.72363,19.26626,18.54514,18.22556,-10.02604,-8.2254,-7.13213,-6.35114,-5.44733,-5.22659,,,,,,,
-0.55512,29.31549,25.7571,21.64438,19.29476,18.49466,18.14246,-10.14233,-8.17195,-7.11228,-6.35028,-5.4327,-5.14598,,,,,,,
-0.55453,29.20822,25.77018,21.72732,19.23761,18.58555,18.25105,-10.16622,-8.21384,-7.14152,-6.35943,-5.43715,-5.11229,,,,,,,
-0.55395,29.17625,25.80538,21.71132,19.23802,18.37211,18.26397,-10.1135,-8.17892,-7.12918,-6.37162,-5.43889,-5.15094,,,,,,,
-0.55336,28.98997,25.81853,21.89879,19.30086,18.50057,18.16124,-10.18945,-8.17332,-7.1909,-6.38843,-5.42359,-5.13981,,,,,,,
-0.55277,29.30835,25.84275,21.8129,19.25413,18.61405,18.19,-10.04368,-8.17764,-7.12716,-6.37529,-5.43993,-5.08209,,,,,,,
-0.55219,29.11233,25.71734,21.84263,19.24035,18.55324,18.09939,-10.10232,-8.20567,-7.17006,-6.36384,-5.43454,-5.22305,,,,,,,
-0.55159,29.22954,25.71506,21.93632,19.31672,18.44612,18.31998,-10.08934,-8.2788,-7.13314,-6.31027,-5.39909,-5.08837,,,,,,,
-0.551,29.37569,25.67503,21.7655,19.27777,18.44109,18.27261,-10.17668,-8.2727,-7.15621,-6.35974,-5.42214,-5.11044,,,,,,,
-0.55042,29.0935,25.75131,21.72406,19.21496,18.43151,18.25469,-10.1128,-8.1946,-7.1615,-6.36367,-5.47747,-5.0965,,,,,,,
-0.54985,29.13958,25.50552,21.67381,19.23316,18.30976,18.00591,-10.1194,-8.22918,-7.11624,-6.38519,-5.45362,-5.05039,,,,,,,
-0.54925,29.12041,25.92645,21.66361,19.25211,18.57538,18.15516,-10.12951,-8.23912,-7.18155,-6.3673,-5.4171,-5.14016,,,,,,,
-0.54866,29.00652,25.82887,21.83925,19.22529,18.47823,18.23151,-10.07279,-8.16027,-7.16198,-6.37321,-5.37646,-5.16906,,,,,,,
-0.54806,28.9326,25.75299,21.72464,19.18226,18.36341,18.23935,-10.03113,-8.2737,-7.11232,-6.35766,-5.41248,-5.1069,,,,,,,
-0.54747,29.11818,25.67611,21.69645,19.25032,18.46998,18.08188,-10.11637,-8.13884,-7.12515,-6.37679,-5.39563,-5.1101,,,,,,,
-0.5469,29.2948,25.67009,21.77814,19.22995,18.53085,18.18983,-10.07034,-8.17994,-7.11735,-6.33536,-5.37752,-5.11281,,,,,,,
-0.54631,28.97373,25.76204,21.80309,19.21114,18.55738,17.99712,-10.15414,-8.15511,-7.1048,-6.38492,-5.4128,-5.10449,,,,,,,
-0.54573,29.15725,25.52199,21.70208,19.24425,18.50627,17.98396,-10.08927,-8.22832,-7.18137,-6.37056,-5.43222,-5.1522,,,,,,,
-0.54515,29.37899,25.89285,21.76939,19.1897,18.58865,18.18716,-10.13362,-8.21922,-7.13122,-6.35813,-5.37966,-5.09419,,,,,,,
-0.54457,29.23993,25.79872,21.619,19.29679,18.36099,18.33802,-10.10157,-8.18608,-7.13817,-6.35708,-5.39383,-5.05002,,,,,,,
-0.54399,29.09118,25.72043,21.76099,19.24865,18.36475,18.33217,-10.10013,-8.24302,-7.19533,-6.35531,-5.42894,-5.12575,,,,,,,
-0.54339,29.0275,25.70225,21.69282,19.14818,18.33038,18.21994,-10.11574,-8.25102,-7.19574,-6.40659,-5.44466,-5.11042,,,,,,,
