A,K,L,M,N,O,P,B,C,D,E,F,G,H,I,J,Q,R,S,T
corrected time (hrs),F3 corr,F5 corr,F7 corr,F9 corr,F11 corr,F13 corr,D3 corr,d5 corr,d7 corr,d9 corr,d11 corr,d13 corr,,,,,,,
9.62447,20.61786,12.7065,7.77093,5.1167,4.90192,4.72552,-11.66394,-8.29766,-6.77335,-5.8092,-4.97157,-4.79607,,,,,,,
9.6251,20.58972,12.7771,7.85988,5.11987,4.94063,4.90833,-11.64578,-8.23224,-6.83186,-5.79495,-5.03641,-4.8268,,,,,,,
9.6258,20.82427,12.5622,7.79059,5.04431,4.81603,4.96858,-11.69408,-8.32299,-6.79868,-5.81094,-5.01041,-4.70087,,,,,,,
9.62644,20.54487,12.6792,7.88397,5.10318,4.8723,5.17357,-11.69716,-8.26439,-6.75113,-5.7956,-4.96955,-4.77829,,,,,,,
9.62708,20.75994,12.49648,7.83745,5.05568,4.93765,4.85457,-11.74311,-8.21672,-6.73064,-5.79195,-4.98025,-4.7782,,,,,,,
9.62778,20.71902,12.48694,7.73074,4.98993,4.69673,5.17379,-11.68051,-8.27703,-6.79342,-5.80642,-4.99516,-4.742,,,,,,,
9.62843,20.67974,12.55043,7.99092,5.11481,4.74891,4.87501,-11.70045,-8.26185,-6.71567,-5.79378,-4.9623,-4.74952,,,,,,,
9.62908,20.5513,12.77226,7.93639,5.042,4.95141,4.757,-11.64166,-8.2118,-6.73413,-5.81804,-4.98144,-4.82782,,,,,,,
9.62978,20.85434,12.94189,7.97216,5.03916,4.91203,4.84695,-11.65231,-8.2909,-6.78407,-5.8042,-4.98993,-4.8224,,,,,,,
9.63043,20.65481,12.50815,7.82824,5.06301,4.76908,4.75492,-11.67248,-8.22312,-6.79649,-5.81948,-4.99292,-4.77828,,,,,,,
9.63108,20.80255,12.5603,7.74958,5.08082,4.97926,4.97731,-11.64986,-8.19443,-6.76913,-5.81752,-4.99489,-4.79857,,,,,,,
9.63177,20.61565,12.73954,8.0128,5.20269,4.89722,5.28347,-11.66396,-8.27819,-6.82612,-5.8188,-5.03304,-4.86868,,,,,,,
9.63243,20.43885,12.67553,7.93979,5.04914,4.95376,4.89328,-11.61842,-8.30221,-6.77659,-5.79461,-4.95748,-4.73331,,,,,,,
9.63311,20.49175,13.00005,7.96285,5.0175,4.83845,4.88029,-11.68628,-8.24285,-6.79451,-5.80088,-5.00076,-4.79164,,,,,,,
9.63376,20.70067,12.86822,7.78633,5.07644,4.92307,4.9814,-11.67948,-8.33389,-6.69928,-5.80883,-5.04226,-4.79448,,,,,,,
9.63446,20.65717,12.7317,7.76489,5.04473,4.76381,4.99739,-11.66001,-8.24291,-6.71561,-5.82349,-5.00574,-4.77971,,,,,,,
9.63515,20.66626,12.65927,8.04395,5.10057,4.89973,5.08238,-11.68829,-8.296,-6.7469,-5.79378,-4.97603,-4.7988,,,,,,,
9.63582,20.57363,12.95913,8.04722,5.05971,4.92748,4.88158,-11.69602,-8.2341,-6.76964,-5.80644,-4.93656,-4.77317,,,,,,,
9.63651,20.85874,12.6617,7.83137,5.03031,4.97172,4.98545,-11.67141,-8.28814,-6.74735,-5.79615,-4.98416,-4.77229,,,,,,,
9.63714,20.64561,12.7836,7.81064,5.20529,5.09857,5.01309,-11.72298,-8.2708,-6.7207,-5.8018,-4.98415,-4.74161,,,,,,,
9.63779,20.62837,12.83037,8.02022,5.08351,4.95116,4.91576,-11.72073,-8.24489,-6.78699,-5.82825,-4.98902,-4.76194,,,,,,,
9.63845,20.6484,12.67308,7.85899,4.97316,4.97583,4.90016,-11.66625,-8.40585,-6.76219,-5.81406,-4.9835,-4.82485,,,,,,,
9.63912,20.67554,12.86951,7.81025,5.00276,4.94449,4.89244,-11.58858,-8.21272,-6.70117,-5.7987,-4.99053,-4.80307,,,,,,,
9.63981,20.69517,12.63582,7.80728,5.02047,4.93822,4.85361,-11.62611,-8.21464,-6.76642,-5.80597,-4.94635,-4.73836,,,,,,,
9.6405,20.81975,12.71659,7.86847,5.05823,4.76598,4.86989,-11.64356,-8.3399,-6.76535,-5.79923,-4.93404,-4.77221,,,,,,,
9.64114,20.6849,12.74376,7.92116,5.07744,4.88472,4.99922,-11.65769,-8.31213,-6.77078,-5.80633,-5.03579,-4.77524,,,,,,,
9.64182,20.55749,12.5104,7.78664,5.06845,4.91012,4.8726,-11.63219,-8.31733,-6.80166,-5.79536,-4.97427,-4.75991,,,,,,,
9.64246,20.61151,12.7816,7.78664,5.08318,4.87862,4.84397,-11.67857,-8.26132,-6.78309,-5.798,-5.00313,-4.76357,,,,,,,
9.6431,20.67159,12.87478,7.94307,4.91016,4.94741,5.13316,-11.62077,-8.28906,-6.83572,-5.78355,-5.02793,-4.85648,,,,,,,
9.64373,20.8589,12.81786,7.86355,5.0513,4.91735,4.99586,-11.62603,-8.21805,-6.70989,-5.78344,-5.00055,-4.78368,,,,,,,
9.64436,20.62233,12.58718,7.83923,4.97918,4.79408,4.86492,-11.62612,-8.26459,-6.77966,-5.79681,-5.08864,-4.85431,,,,,,,
9.64495,20.62993,12.72121,7.96805,5.01101,4.97057,5.09716,-11.74236,-8.33159,-6.77311,-5.80537,-4.97418,-4.69771,,,,,,,
9.64566,20.717,12.5183,7.81227,5.08204,4.99577,5.0226,-11.69795,-8.18758,-6.75685,-5.78634,-4.94595,-4.77804,,,,,,,
9.64636,20.70407,12.67215,7.85517,5.03977,4.9369,4.86681,-11.57347,-8.29297,-6.80072,-5.80382,-5.02395,-4.81763,,,,,,,
9.647,20.74587,12.59264,7.9226,5.0506,4.93078,4.82934,-11.69113,-8.29698,-6.75262,-5.81516,-4.97961,-4.86335,,,,,,,
9.64765,20.58317,12.63147,7.89433,5.11608,4.89338,4.89251,-11.61688,-8.22119,-6.7399,-5.8156,-4.99331,-4.85459,,,,,,,
9.64824,20.75361,12.79423,7.86573,5.07124,4.931,5.00897,-11.70723,-8.23036,-6.76583,-5.77059,-5.01618,-4.67048,,,,,,,
9.64893,20.64081,12.74294,8.00693,4.96682,4.86818,4.93587,-11.64807,-8.30584,-6.69944,-5.78774,-5.01521,-4.77525,,,,,,,
9.64957,20.56102,12.77215,7.77211,5.11991,4.98465,4.7908,-11.72556,-8.23071,-6.69297,-5.81237,-5.01861,-4.7885,,,,,,,
9.65027,20.72792,12.63174,7.94782,4.96149,4.9483,4.74318,-11.72392,-8.37068,-6.77567,-5.80952,-5.00979,-4.86862,,,,,,,
9.6509,20.6918,12.53417,7.87581,4.94784,5.10266,5.09095,-11.61393,-8.23059,-6.69392,-5.82174,-4.96409,-4.71356,,,,,,,
9.65154,20.57049,12.93266,7.82396,5.01132,4.78302,4.49608,-11.70673,-8.2582,-6.73311,-5.82449,-4.98196,-4.86137,,,,,,,
9.65218,20.6251,12.68775,7.80547,5.00862,4.83426,4.97809,-11.72827,-8.27561,-6.79943,-5.78686,-5.03488,-4.79826,,,,,,,
9.65288,20.74036,12.61579,7.91398,5.13046,4.96653,4.9224,-11.64465,-8.30433,-6.76096,-5.78024,-5.0097,-4.8735,,,,,,,
9.65358,20.60746,12.6593,7.93006,5.11992,5.13655,4.77724,-11.67062,-8.19877,-6.80076,-5.80784,-4.98635,-4.82094,,,,,,,
9.65423,20.50472,12.69289,7.90503,5.08856,4.8558,4.90442,-11.72817,-8.21986,-6.78136,-5.79689,-4.98103,-4.7245,,,,,,,
9.65486,20.74293,12.59295,7.79965,5.00754,4.91379,4.75867,-11.60347,-8.30997,-6.72853,-5.81481,-4.9985,-4.78808,,,,,,,
9.65552,20.71127,12.68713,7.79097,4.96565,4.81954,5.11651,-11.58298,-8.19465,-6.79272,-5.81386,-4.92548,-4.86163,,,,,,,
9.65615,20.65708,12.78246,7.94515,4.9379,4.84904,4.97553,-11.70166,-8.27247,-6.75825,-5.81652,-5.02714,-4.82711,,,,,,,
9.6568,20.51253,12.63862,7.85925,5.04796,4.98396,5.07219,-11.74988,-8.21537,-6.78524,-5.76978,-5.01803,-4.6903,,,,,,,
9.65744,20.46174,12.6416,7.8176,5.05213,4.95269,5.10117,-11.70927,-8.29853,-6.76988,-5.79813,-5.03565,-4.79281,,,,,,,
9.6581,20.63165,12.42547,8.01508,5.22921,5.0156,5.35771,-11.7674,-8.29266,-6.68554,-5.77238,-5.01917,-4.9032,,,,,,,
9.65878,20.74161,12.61314,7.67175,5.08419,5.04374,5.16959,-11.69201,-8.28754,-6.77299,-5.78962,-4.97118,-4.79595,,,,,,,
9.65942,20.69741,12.6789,7.90224,5.02083,4.98732,4.85446,-11.51968,-8.31923,-6.74896,-5.80438,-4.96918,-4.79474,,,,,,,
9.66011,20.69365,12.56672,7.81174,5.0327,5.03927,4.89863,-11.68546,-8.20148,-6.7603,-5.76223,-5.02872,-4.84905,,,,,,,
9.66075,20.8225,12.79222,7.85279,4.97886,4.93232,4.65703,-11.75456,-8.3649,-6.74907,-5.80427,-5.01689,-4.81086,,,,,,,
9.66145,20.68106,12.57313,8.01281,5.09756,4.9644,5.05787,-11.74898,-8.31147,-6.72027,-5.82124,-4.95901,-4.862,,,,,,,
9.66216,20.61598,12.82063,7.84189,4.95836,4.98123,4.69618,-11.62916,-8.32459,-6.71828,-5.832,-4.9896,-4.79826,,,,,,,
9.6628,20.6567,12.67255,7.89401,5.02568,4.84543,5.04642,-11.70026,-8.19572,-6.7976,-5.82569,-5.02872,-4.88383,,,,,,,
9.66345,20.63564,12.7362,8.02684,5.09551,4.84207,5.00253,-11.61515,-8.29732,-6.86065,-5.80025,-5.02412,-4.81371,,,,,,,
9.66408,20.73278,12.53983,7.79905,5.13385,4.80069,5.1899,-11.67504,-8.24258,-6.79864,-5.80635,-4.95842,-4.7944,,,,,,,
9.66473,20.68256,12.80114,7.94041,5.04697,4.80753,4.97641,-11.68962,-8.29655,-6.73498,-5.80675,-5.00381,-4.8044,,,,,,,
9.66537,20.70429,12.57009,7.914,4.92996,4.97234,4.82518,-11.71659,-8.32846,-6.74226,-5.80949,-5.01525,-4.87882,,,,,,,
9.66604,20.75389,12.70361,7.87064,4.99721,4.93822,4.82535,-11.67025,-8.26466,-6.74551,-5.80515,-5.01603,-4.7772,,,,,,,
9.66666,20.83782,12.86052,7.88102,5.01873,5.00072,4.86776,-11.66702,-8.24926,-6.71352,-5.82076,-4.96717,-4.82201,,,,,,,
9.66736,20.75507,12.7404,7.89525,5.07082,4.85677,4.89291,-11.65627,-8.2606,-6.70119,-5.80935,-4.97511,-4.79278,,,,,,,
9.66804,20.80668,12.72989,8.00076,4.96214,4.93316,4.81667,-11.79725,-8.32301,-6.75379,-5.81316,-5.00479,-4.78877,,,,,,,
9.66871,20.57701,12.84165,7.68617,5.06277,4.74369,4.97296,-11.62813,-8.359,-6.82197,-5.79818,-5.00062,-4.84055,,,,,,,
9.66939,20.81858,12.43401,7.80295,5.0992,4.87769,5.04016,-11.67344,-8.29969,-6.84757,-5.81027,-4.93128,-4.85115,,,,,,,
9.67002,20.65424,12.64166,7.79613,5.09902,4.88112,4.92484,-11.65418,-8.22039,-6.76372,-5.76536,-5.01249,-4.84102,,,,,,,
9.67069,20.68456,12.64027,7.88032,4.93456,4.80587,4.94992,-11.71639,-8.13398,-6.7425,-5.8017,-4.98151,-4.9149,,,,,,,
9.67132,20.75408,12.74843,7.96512,5.07741,4.90942,5.10412,-11.65794,-8.35423,-6.75428,-5.80476,-5.03457,-4.82086,,,,,,,
9.67201,20.66331,12.69042,7.83911,5.03687,4.92805,5.03059,-11.68053,-8.2982,-6.70518,-5.80201,-4.96612,-4.80869,,,,,,,
9.67261,20.49885,12.71265,7.80218,5.09836,4.91492,4.79414,-11.66258,-8.28058,-6.80631,-5.82933,-4.99798,-4.90824,,,,,,,
9.6733,20.56522,13.01742,7.85901,5.05887,4.91123,4.93278,-11.74439,-8.29666,-6.76837,-5.77151,-4.97283,-4.83329,,,,,,,
9.67395,20.63897,12.72556,7.88045,5.11863,4.81306,5.02432,-11.71983,-8.23305,-6.7654,-5.76031,-4.93829,-4.75392,,,,,,,
9.67459,20.65617,12.58294,7.81096,5.14453,4.93603,5.18308,-11.65965,-8.27287,-6.70467,-5.78409,-5.04708,-4.71233,,,,,,,
9.67522,20.60425,12.82034,7.79577,5.10267,4.67118,4.58925,-11.72031,-8.3252,-6.76892,-5.81857,-5.00872,-4.76413,,,,,,,
9.67586,20.76147,12.62822,7.84727,4.97617,4.94533,4.7097,-11.66028,-8.29717,-6.73371,-5.77629,-4.99361,-4.82102,,,,,,,
9.67655,20.81485,12.62853,7.91417,4.98175,4.98454,4.84992,-11.71051,-8.25613,-6.8208,-5.83617,-5.05117,-4.77628,,,,,,,
9.67724,20.52516,12.76354,7.83649,4.9338,4.80961,4.5645,-11.60248,-8.37455,-6.78119,-5.82476,-4.98127,-4.87898,,,,,,,
9.6779,20.64524,12.95833,7.96354,5.01267,4.74815,4.65897,-11.71297,-8.29558,-6.73292,-5.81891,-4.9798,-4.76866,,,,,,,
9.67854,20.48317,12.77096,7.90594,5.00812,4.91396,4.85151,-11.68965,-8.28881,-6.68165,-5.79424,-4.98166,-4.77094,,,,,,,
9.67925,20.65531,12.78821,7.81784,5.18538,5.02928,5.10089,-11.67744,-8.22647,-6.7468,-5.8054,-5.03291,-4.81102,,,,,,,
9.67995,20.74143,12.70271,7.79349,5.10033,4.76171,5.14632,-11.66074,-8.23965,-6.69781,-5.78461,-5.0793,-4.74811,,,,,,,
9.68054,20.61464,12.59906,7.96777,5.10458,4.92389,4.90145,-11.68436,-8.25573,-6.79115,-5.81085,-4.99224,-4.74293,,,,,,,
9.68119,20.68252,12.62524,7.86648,4.95734,4.83527,4.68793,-11.64051,-8.26786,-6.73336,-5.77259,-4.97663,-4.74677,,,,,,,
9.68182,20.83965,12.81892,7.9406,5.0507,4.84494,4.73414,-11.70312,-8.2844,-6.80313,-5.81334,-4.99278,-4.82654,,,,,,,
9.68254,20.80225,12.52157,7.74381,5.03035,5.05604,4.85308,-11.64221,-8.29955,-6.8046,-5.79528,-5.01768,-4.83308,,,,,,,
9.68323,20.86985,12.77353,8.00129,4.97511,4.99413,4.82253,-11.66371,-8.19949,-6.78582,-5.79521,-4.96229,-4.79923,,,,,,,
9.68387,20.64124,12.51714,8.03442,4.95263,4.88446,5.0363,-11.70769,-8.30866,-6.70593,-5.81067,-5.02266,-4.91449,,,,,,,
9.68451,20.56468,12.70895,7.79542,5.09589,4.70602,5.13189,-11.65205,-8.24137,-6.76462,-5.79088,-5.02445,-4.79803,,,,,,,
9.6852,20.68042,12.46379,7.76085,5.15984,4.86441,5.28727,-11.70721,-8.31714,-6.77944,-5.797,-5.00486,-4.81977,,,,,,,
9.68584,20.49084,12.67608,7.74645,5.11929,4.96386,4.92786,-11.63668,-8.27877,-6.77211,-5.78063,-4.99501,-4.83375,,,,,,,
9.68647,20.85109,12.61872,7.90442,5.04348,4.92629,4.97013,-11.69841,-8.27817,-6.6916,-5.79096,-5.00893,-4.72911,,,,,,,
9.68713,20.74196,12.68234,7.85442,5.01644,4.90036,4.84613,-11.67582,-8.26501,-6.70026,-5.79959,-4.99596,-4.72523,,,,,,,
9.68776,20.6801,12.41411,7.90056,4.98552,4.91742,5.14356,-11.66663,-8.24363,-6.71756,-5.80599,-4.98848,-4.72656,,,,,,,
9.68846,20.70087,12.30237,7.86025,4.98771,4.80645,4.94617,-11.71566,-8.1736,-6.76816,-5.82689,-5.00155,-4.7963,,,,,,,
9.68916,20.60367,12.56362,7.80213,5.09121,4.82531,4.90144,-11.59983,-8.26496,-6.72995,-5.83662,-4.934,-4.74054,,,,,,,
9.68976,20.83996,12.81174,7.89819,5.00563,4.78657,4.90739,-11.71534,-8.29268,-6.72787,-5.81344,-5.03581,-4.81162,,,,,,,
9.69045,20.8697,12.84128,7.77296,5.18234,5.09544,4.92349,-11.59913,-8.28945,-6.74162,-5.80961,-5.04426,-4.91236,,,,,,,
9.6911,20.61911,12.41785,7.79673,5.11841,4.70572,4.89701,-11.79581,-8.32644,-6.76911,-5.81204,-5.00367,-4.88627,,,,,,,
9.69175,20.65651,12.73008,7.83298,5.11104,4.71461,4.8075,-11.71453,-8.17116,-6.70031,-5.79754,-5.03996,-4.77448,,,,,,,
9.69244,20.93115,12.62728,7.7588,4.96994,4.7669,4.91187,-11.78587,-8.26274,-6.77318,-5.79862,-4.96671,-4.7392,,,,,,,
9.69308,20.65015,12.66257,7.84103,4.99771,4.82063,4.8832,-11.75493,-8.27859,-6.79134,-5.80026,-5.02509,-4.66624,,,,,,,
9.69371,20.62637,12.66496,7.76443,5.08676,4.92982,4.68599,-11.78179,-8.26741,-6.68161,-5.80143,-5.0681,-4.85176,,,,,,,
9.69434,20.85322,12.73139,7.92108,5.12007,4.78012,5.12627,-11.67584,-8.23243,-6.77832,-5.80549,-4.9659,-4.77611,,,,,,,
9.69499,20.76516,12.73779,7.9846,5.18787,4.77249,4.92588,-11.75125,-8.21931,-6.82426,-5.82337,-4.97459,-4.76252,,,,,,,
9.69568,20.79674,12.57958,7.82062,5.14018,5.00204,5.01756,-11.73561,-8.23019,-6.79092,-5.77905,-4.92324,-4.76605,,,,,,,
9.69632,20.80696,12.63345,7.90315,5.02347,4.79424,5.12427,-11.69599,-8.30377,-6.79232,-5.81014,-4.97394,-4.67197,,,,,,,
9.69703,20.83873,12.68075,7.88913,4.92904,4.93998,4.99353,-11.64423,-8.27863,-6.75173,-5.83017,-5.04516,-4.80292,,,,,,,
9.69767,20.81889,12.92796,7.84766,4.9909,5.02829,4.82309,-11.75476,-8.16173,-6.7731,-5.84215,-4.98974,-4.69718,,,,,,,
9.69826,20.67542,12.77497,7.83812,4.99393,5.12697,5.13181,-11.76996,-8.25851,-6.70843,-5.82629,-5.01862,-4.8032,,,,,,,
9.69897,20.70107,12.55753,7.66874,5.10478,4.92233,4.91942,-11.6978,-8.23068,-6.7427,-5.80927,-5.01368,-4.70194,,,,,,,
9.69965,20.64668,12.57761,7.83948,5.04263,4.90439,5.07681,-11.67815,-8.26684,-6.81661,-5.80921,-5.01862,-4.77989,,,,,,,
9.70027,20.65101,12.50054,7.75256,4.97513,4.99672,5.06235,-11.71856,-8.23975,-6.74796,-5.82668,-5.02179,-4.77016,,,,,,,
9.70097,20.5217,12.68297,8.03774,5.21184,5.03533,5.35904,-11.69551,-8.21382,-6.77097,-5.80473,-4.99742,-4.86522,,,,,,,
9.70165,20.66427,12.84653,7.97234,5.07425,5.04366,4.82862,-11.62425,-8.25783,-6.76795,-5.82398,-4.9862,-4.90396,,,,,,,
9.70229,20.7353,12.64689,8.01477,5.04086,4.86184,4.73857,-11.63883,-8.29708,-6.74021,-5.82135,-5.00781,-4.8279,,,,,,,
9.70292,20.63763,12.77454,7.68952,5.00349,4.92833,5.11705,-11.70769,-8.34609,-6.6676,-5.80597,-4.99448,-4.7697,,,,,,,
9.70355,20.79871,12.77603,7.8512,5.01508,5.03146,4.76359,-11.70558,-8.27509,-6.68467,-5.78239,-5.0277,-4.74748,,,,,,,
9.70419,20.71369,12.71503,7.87327,5.04455,4.62264,4.96358,-11.67469,-8.30973,-6.71432,-5.80802,-5.059,-4.82473,,,,,,,
9.70483,20.72619,12.60076,7.7326,5.0984,4.78967,4.82394,-11.73272,-8.28093,-6.74178,-5.81366,-4.97553,-4.78154,,,,,,,
9.70546,20.79119,12.91211,7.8512,5.04424,4.76594,4.65851,-11.73014,-8.26387,-6.73527,-5.79543,-5.02181,-4.88134,,,,,,,
9.70611,20.62984,12.6705,7.81753,5.09331,4.8918,4.9582,-11.834,-8.18537,-6.71237,-5.79513,-4.99501,-4.76,,,,,,,
9.70675,20.68402,12.5306,7.95894,5.0786,4.91519,4.99899,-11.68331,-8.20106,-6.78621,-5.79882,-5.00651,-4.74736,,,,,,,
9.70739,20.65933,12.7281,8.00021,5.11408,4.88064,4.95315,-11.73474,-8.26137,-6.84606,-5.78539,-5.04077,-4.80053,,,,,,,
9.70803,20.88411,12.47141,7.81075,5.00875,4.93701,4.79713,-11.72797,-8.19091,-6.77743,-5.80275,-4.99508,-4.8123,,,,,,,
9.70862,21.08993,12.53604,7.73847,5.01366,4.87294,4.76115,-11.73544,-8.32669,-6.7217,-5.81347,-5.04661,-4.83393,,,,,,,
9.70933,20.87504,12.70746,7.76928,5.03709,4.88544,4.84043,-11.70136,-8.39579,-6.72142,-5.81498,-4.99609,-4.80143,,,,,,,
9.71002,20.87205,12.75968,7.91121,5.01178,4.8857,4.96318,-11.63184,-8.33519,-6.80521,-5.81414,-4.98323,-4.72084,,,,,,,
9.71068,20.8221,12.78063,7.95152,4.95299,4.70155,4.84725,-11.63965,-8.24371,-6.76914,-5.81186,-4.98024,-4.73095,,,,,,,
9.71136,20.61885,12.54411,7.89053,5.11019,4.89802,4.86928,-11.655,-8.28167,-6.79759,-5.82352,-4.95583,-4.76909,,,,,,,
9.712,20.69389,12.64725,8.06369,5.15436,5.08323,5.14267,-11.71211,-8.31033,-6.78479,-5.83633,-5.0147,-4.82726,,,,,,,
9.71269,20.79327,12.8139,7.94316,5.00961,4.85413,4.97109,-11.74312,-8.32499,-6.77764,-5.81752,-5.00751,-4.83946,,,,,,,
9.71336,20.5694,12.48241,7.88171,4.94007,4.8898,4.76815,-11.76106,-8.32679,-6.7649,-5.81104,-5.03509,-4.82531,,,,,,,
9.71398,20.63559,12.68004,7.87436,5.00934,4.87597,4.95241,-11.66366,-8.24803,-6.72286,-5.81267,-4.98402,-4.77453,,,,,,,
9.7147,20.77427,12.61315,7.91796,4.973,4.78507,4.86591,-11.66546,-8.23072,-6.77561,-5.7924,-5.00631,-4.77482,,,,,,,
9.71539,20.68262,12.7838,7.76851,4.99596,4.70176,4.97573,-11.73426,-8.25514,-6.77296,-5.80735,-4.97788,-4.87117,,,,,,,
9.71604,20.68588,12.6568,7.91589,5.06919,4.9367,4.92661,-11.71761,-8.23227,-6.70426,-5.79064,-5.01911,-4.87364,,,,,,,
9.71669,20.95765,12.9722,8.02395,5.11084,4.72701,5.1628,-11.76844,-8.27358,-6.75591,-5.81421,-5.02659,-4.84794,,,,,,,
9.71737,20.78466,12.69014,7.8507,5.08142,4.83661,5.00404,-11.68075,-8.30221,-6.69458,-5.81021,-4.98779,-4.75168,,,,,,,
9.71805,20.90252,12.64428,7.89226,4.98996,5.01226,4.96822,-11.62157,-8.29743,-6.73588,-5.8204,-4.98971,-4.77669,,,,,,,
9.71874,20.72665,12.49867,7.72475,4.99046,4.77231,5.04383,-11.74735,-8.28527,-6.72274,-5.80358,-4.93983,-4.76584,,,,,,,
9.71938,20.77915,12.91786,7.76856,4.97247,4.89131,5.06964,-11.66765,-8.34979,-6.74041,-5.82186,-4.99545,-4.79615,,,,,,,
9.72009,20.88564,12.42391,7.81981,4.966,4.94964,4.90243,-11.70503,-8.21921,-6.65818,-5.81597,-4.99012,-4.80866,,,,,,,
9.72079,20.7317,12.58057,7.97905,5.01295,4.76928,4.77085,-11.7745,-8.32377,-6.77975,-5.80728,-5.03334,-4.87086,,,,,,,
9.72148,20.8668,12.53388,8.00325,5.13204,4.90929,4.67492,-11.75589,-8.26171,-6.72976,-5.79124,-5.038,-4.69667,,,,,,,
9.72211,20.7037,12.70789,7.8388,5.12011,4.87064,4.90527,-11.69211,-8.2565,-6.77739,-5.78673,-5.00191,-4.77395,,,,,,,
9.72275,20.84442,12.38169,7.83661,5.07735,4.90819,4.89216,-11.74641,-8.21846,-6.70554,-5.78713,-4.96717,-4.63387,,,,,,,
9.7234,20.57563,12.6881,7.79642,5.0368,4.74042,4.81087,-11.67011,-8.2247,-6.71523,-5.81267,-4.98338,-4.79082,,,,,,,
9.72405,20.79262,12.74925,7.799,4.96627,4.93857,5.12739,-11.72325,-8.29648,-6.75395,-5.83576,-4.93054,-4.79457,,,,,,,
9.72475,20.89582,12.46169,7.93474,4.93492,4.9683,4.49208,-11.75619,-8.36367,-6.81244,-5.82764,-4.98167,-4.74893,,,,,,,
9.7254,20.95608,12.57886,7.8608,5.06338,4.82973,5.0009,-11.70085,-8.32215,-6.7608,-5.7984,-5.03961,-4.79891,,,,,,,
9.72604,21.05725,12.87421,7.85645,4.97113,4.76635,4.81988,-11.74925,-8.25966,-6.70397,-5.7909,-4.96663,-4.80723,,,,,,,
9.72663,20.76635,12.84369,7.79423,5.10012,4.81477,5.08802,-11.74293,-8.35651,-6.76096,-5.81229,-5.01092,-4.77354,,,,,,,
9.72733,20.69508,12.79763,7.88479,5.14038,4.94599,5.28971,-11.72483,-8.27069,-6.792,-5.7978,-5.02735,-4.79952,,,,,,,
9.72803,20.70001,12.46449,7.80224,5.16903,5.04971,5.07596,-11.73187,-8.35094,-6.72477,-5.79646,-4.98894,-4.83491,,,,,,,
9.72872,20.59204,12.59213,7.90759,4.95099,4.99004,4.87507,-11.68996,-8.28028,-6.74642,-5.80975,-5.01176,-4.79161,,,,,,,
9.7293,20.72877,12.87488,7.81835,5.00294,4.89362,4.87955,-11.65305,-8.21197,-6.80916,-5.79225,-5.00889,-4.774,,,,,,,
9.73,20.94614,12.76167,7.72434,5.00766,4.81955,5.06025,-11.69829,-8.23314,-6.78731,-5.79949,-5.01688,-4.76541,,,,,,,
9.73069,20.8979,12.8861,7.81049,5.06221,4.68744,4.69852,-11.79564,-8.31814,-6.75066,-5.79332,-4.96735,-4.83771,,,,,,,
9.73133,20.74649,12.7686,7.89525,5.08719,5.01172,4.87001,-11.76103,-8.26156,-6.7496,-5.82263,-4.97463,-4.75865,,,,,,,
9.73197,20.74579,12.7346,7.79712,4.99946,5.10184,5.05718,-11.73604,-8.14522,-6.79189,-5.81178,-5.05984,-4.7627,,,,,,,
9.73262,20.95161,12.89782,7.87833,5.13836,4.88478,5.34029,-11.69402,-8.24611,-6.83213,-5.77936,-4.97815,-4.76582,,,,,,,
9.73326,20.66014,12.63547,7.58403,5.0323,4.85479,4.99869,-11.77243,-8.2999,-6.75295,-5.78264,-4.9587,-4.69769,,,,,,,
9.7339,20.77189,12.81198,7.80398,5.0412,4.86569,5.07809,-11.71991,-8.2865,-6.75461,-5.78405,-4.97184,-4.72309,,,,,,,
9.73455,20.73426,12.59837,7.8314,4.9119,5.11904,5.08994,-11.76933,-8.18774,-6.74608,-5.78373,-5.02203,-4.76641,,,,,,,
9.73518,20.6413,12.86564,7.93753,4.95934,4.90534,5.04084,-11.80086,-8.24926,-6.72934,-5.80825,-5.01959,-4.78081,,,,,,,
9.73583,20.88175,12.82554,8.0748,5.05053,4.98979,4.81247,-11.70328,-8.28156,-6.67842,-5.79285,-4.99731,-4.86051,,,,,,,
9.73652,20.69039,12.91459,7.7707,5.10094,4.76391,4.75961,-11.77629,-8.29443,-6.81054,-5.86152,-4.95646,-4.73574,,,,,,,
9.73716,20.75983,12.57101,7.94736,5.01567,4.9056,4.97875,-11.67637,-8.22975,-6.8056,-5.81712,-4.95123,-4.77463,,,,,,,
9.73779,20.58475,12.80753,7.80683,4.96019,4.86367,5.11324,-11.71753,-8.27579,-6.75406,-5.82012,-5.00393,-4.69062,,,,,,,
9.73843,20.84232,12.40217,7.84787,5.20149,4.83313,5.17271,-11.64067,-8.27191,-6.72668,-5.78891,-5.00012,-4.76113,,,,,,,
9.73905,20.81019,12.68608,7.86415,5.00206,4.84437,4.92934,-11.74934,-8.26417,-6.76915,-5.81152,-4.97945,-4.76075,,,,,,,
9.7397,20.83292,12.528,7.85878,4.98747,4.99918,5.17387,-11.73719,-8.3944,-6.73423,-5.80754,-4.97182,-4.75955,,,,,,,
9.74033,20.78446,12.8816,7.92397,5.0007,4.89521,5.07536,-11.73843,-8.29015,-6.739,-5.82907,-4.94025,-4.79613,,,,,,,
9.74098,20.69069,12.90125,7.9117,5.07761,4.8732,4.95394,-11.6955,-8.17894,-6.75231,-5.80114,-5.00304,-4.75756,,,,,,,
